ACTIONID	USERID	TARGETID	TIMESTAMP
0	0	0	0.000
1	0	1	6.000
2	0	2	41.000
3	0	1	49.000
4	0	2	51.000
5	0	3	55.000
6	0	4	59.000
7	0	5	62.000
8	0	6	65.000
9	0	7	113.000
10	0	8	226.000
11	0	9	974.000
12	0	0	1000.000
13	0	9	1172.000
14	0	2	1182.000
15	0	1	1185.000
16	0	10	1687.000
17	1	10	7262.000
18	1	1	7266.000
19	1	2	7273.000
20	1	7	7289.000
21	1	0	7299.000
22	1	11	7319.000
23	1	12	7839.000
24	1	11	7846.000
25	2	1	37868.000
26	3	1	37953.000
27	4	1	37969.000
28	4	3	38018.000
29	3	10	38113.000
30	3	3	38126.000
31	5	1	38170.000
32	5	3	38184.000
33	6	1	38218.000
34	7	1	38219.000
35	5	8	38239.000
36	3	13	38246.000
37	8	1	38260.000
38	6	3	38261.000
39	7	1	38287.000
40	6	1	38308.000
41	6	2	38327.000
42	6	7	38340.000
43	9	1	38414.000
44	7	10	38455.000
45	7	9	38472.000
46	6	14	38581.000
47	7	3	38583.000
48	6	14	38597.000
49	6	7	38606.000
50	6	14	38615.000
51	6	9	38623.000
52	10	1	38680.000
53	6	8	38696.000
54	10	3	38700.000
55	6	3	38704.000
56	4	4	38724.000
57	4	13	38725.000
58	4	8	38736.000
59	4	5	38753.000
60	11	1	38819.000
61	12	1	38820.000
62	12	3	38826.000
63	11	1	38833.000
64	11	3	38842.000
65	13	1	38900.000
66	13	3	38905.000
67	12	9	38906.000
68	12	13	38906.000
69	12	9	38923.000
70	12	7	38931.000
71	12	8	38941.000
72	14	1	39047.000
73	14	2	39065.000
74	14	1	39073.000
75	13	4	39105.000
76	13	13	39105.000
77	14	3	39113.000
78	14	9	39133.000
79	14	13	39133.000
80	14	9	39157.000
81	13	8	39161.000
82	14	7	39162.000
83	15	1	39164.000
84	15	2	39190.000
85	13	15	39193.000
86	16	1	39193.000
87	15	3	39197.000
88	17	1	39220.000
89	13	8	39229.000
90	13	5	39232.000
91	15	13	39241.000
92	18	1	39251.000
93	13	4	39253.000
94	13	16	39254.000
95	17	10	39258.000
96	18	3	39273.000
97	19	1	39304.000
98	19	2	39313.000
99	19	3	39319.000
100	17	3	39320.000
101	14	8	39328.000
102	19	13	39329.000
103	14	8	39364.000
104	14	1	39370.000
105	10	4	39382.000
106	14	2	39382.000
107	14	3	39393.000
108	14	4	39423.000
109	14	1	39438.000
110	6	13	39445.000
111	14	1	39447.000
112	14	2	39513.000
113	14	10	39543.000
114	14	4	39586.000
115	13	7	39591.000
116	13	15	39591.000
117	20	1	39606.000
118	20	2	39610.000
119	20	1	39612.000
120	13	9	39623.000
121	14	4	39624.000
122	20	3	39624.000
123	14	4	39627.000
124	21	1	39627.000
125	4	5	39630.000
126	4	16	39630.000
127	21	2	39637.000
128	21	3	39642.000
129	21	7	39648.000
